Project Cost,VAT,Payments Made,Percent Accomplished,Balance,Date/Period
508147.31,60977.68,69506.42,12.54,499618.57,2025-02-11
490017.35,58802.08,71558.55,11.78,477260.89,2025-02-12
503482.42,60417.89,73320.86,9.89,490579.45,2025-02-13
501750.29,60210.03,75040.29,7.06,486920.03,2025-02-14
503280.33,60393.64,76834.67,6.92,486839.29,2025-02-15
513071.43,61568.57,78891.88,8.24,495748.13,2025-02-16
503353.93,60402.47,80109.75,12.22,483646.66,2025-02-17
510183.7,61222.04,82537.41,7.18,488868.34,2025-02-18
501013.69,60121.64,84943.16,12.25,476192.17,2025-02-19
504336.79,60520.41,87163.59,6.57,477693.62,2025-02-20
509469.32,61136.32,89513.08,10.4,481092.56,2025-02-21
478142.66,57377.12,91689.51,11.7,443830.27,2025-02-22
495204.93,59424.59,95092.02,20.07,459537.51,2025-02-23
492944.41,59153.33,97018.03,6.89,455079.71,2025-02-24
490416.83,58850.02,98799.06,17.06,450467.79,2025-02-25
495872.87,59504.74,100276.6,12.63,455101.01,2025-02-26
522424.12,62690.89,101568.04,13.75,483546.97,2025-02-27
487012.53,58441.5,102719.96,12.92,442734.08,2025-02-28
514524.18,61742.9,104129.87,14.26,472137.21,2025-03-01
474756.95,56970.83,106121.47,12.37,425606.32,2025-03-02
494976.72,59397.21,108405.58,18.19,445968.35,2025-03-03
502441.3,60292.96,110500.5,11.7,452233.75,2025-03-04
508793.33,61055.2,112032.76,17.46,457815.78,2025-03-05
510668.4,61280.21,114740.04,11.44,457208.56,2025-03-06
511900.21,61428.03,117343.8,13.68,455984.43,2025-03-07
494769.12,59372.29,119327.24,10.34,434814.18,2025-03-08
493064.72,59167.77,120974.41,15.89,431258.08,2025-03-09
512869.64,61544.36,123471.53,19.55,450942.46,2025-03-10
497130.44,59655.65,125725.36,14.42,431060.73,2025-03-11
480864.71,57703.76,126842.93,14.2,411725.54,2025-03-12
483000.69,57960.08,128935.63,11.19,412025.15,2025-03-13
486208.22,58344.99,131268.35,14.48,413284.85,2025-03-14
507457.41,60894.89,132796.88,9.91,435555.42,2025-03-15
502136.39,60256.37,135097.11,12.49,427295.65,2025-03-16
510357.28,61242.87,136255.08,16.67,435345.07,2025-03-17
493591.21,59230.95,139375.78,20.69,413446.37,2025-03-18
502378.1,60285.37,142443.74,26.11,420219.73,2025-03-19
509383.86,61126.06,144470.38,14.42,426039.54,2025-03-20
495359.8,59443.18,146937.23,21.7,407865.75,2025-03-21
506851.63,60822.2,147471.72,17.72,420202.1,2025-03-22
490071.11,58808.53,148892.74,16.54,399986.9,2025-03-23
494554.19,59346.5,150926.57,18.78,402974.12,2025-03-24
494273.93,59312.87,152424.58,17.68,401162.23,2025-03-25
482062.41,57847.49,155182.17,18.05,384727.72,2025-03-26
507304.59,60876.55,158846.81,16.43,409334.33,2025-03-27
492958.96,59155.08,160298.73,13.17,391815.31,2025-03-28
500187.41,60022.49,161997.08,12.86,398212.82,2025-03-29
507211.2,60865.34,164455.48,20.75,403621.07,2025-03-30
506697.97,60803.76,167885.86,17.69,399615.86,2025-03-31
509980.78,61197.69,169341.83,16.77,401836.64,2025-04-01
498522.72,59822.73,171836.79,19.08,386508.65,2025-04-02
493650.53,59238.06,175441.36,22.03,377447.23,2025-04-03
498804.23,59856.51,176623.81,20.08,382036.93,2025-04-04
474689.98,56962.8,178074.75,17.35,353578.03,2025-04-05
478293.31,57395.2,180134.94,24.14,355553.57,2025-04-06
480159.51,57619.14,182136.26,25.57,355642.38,2025-04-07
485041.3,58204.96,185079.83,21.98,358166.42,2025-04-08
505996.61,60719.59,187632.76,23.85,379083.45,2025-04-09
486417.81,58370.14,188783.07,24.99,356004.88,2025-04-10
494327.56,59319.31,191545.66,24.8,362101.2,2025-04-11
519488.42,62338.61,193552.21,23.19,388274.83,2025-04-12
494656.04,59358.72,196864.16,23.33,357150.6,2025-04-13
511062.73,61327.53,198853.71,23.25,373536.55,2025-04-14
485995.73,58319.49,200845.95,17.79,343469.27,2025-04-15
496918.44,59630.21,203671.64,24.28,352877.01,2025-04-16
485749.67,58289.96,206661.6,17.28,337378.03,2025-04-17
494914.5,59389.74,209440.2,19.45,344864.05,2025-04-18
512604.62,61512.55,210734.23,26.99,363382.95,2025-04-19
474090.19,56890.82,213593.82,25.57,317387.2,2025-04-20
506516.35,60781.96,215361.79,28.03,351936.53,2025-04-21
503566.03,60427.92,218027.48,22.07,345966.48,2025-04-22
491087.75,58930.53,219540.89,19.19,330477.39,2025-04-23
478309.13,57397.1,222372.35,22.58,313333.88,2025-04-24
501081.94,60129.83,224335.79,23.97,336875.99,2025-04-25
492057.61,59046.91,225975.02,24.09,325129.5,2025-04-26
503490.14,60418.82,229020.78,27.98,334888.18,2025-04-27
500327.78,60039.33,231745.05,22.95,328622.07,2025-04-28
524026.68,62883.2,233879.39,25.64,353030.49,2025-04-29
496409.67,59569.16,237468.36,21.15,318510.46,2025-04-30
484647.54,58157.7,239742.07,26.38,303063.17,2025-05-01
502689.13,60322.7,242355.73,25.02,320656.1,2025-05-02
503299.95,60395.99,245144.17,22.58,318551.78,2025-05-03
520387.81,62446.54,247319.62,24.58,335514.73,2025-05-04
512526.67,61503.2,250267.65,24.96,323762.22,2025-05-05
505353.07,60642.37,252521.49,24.85,313473.94,2025-05-06
521949.54,62633.95,254869.61,32.2,329713.87,2025-05-07
482168.55,57860.23,258468.76,25.85,281560.03,2025-05-08
490403.73,58848.45,260394.65,25.54,288857.52,2025-05-09
486101.36,58332.16,261369.03,19.25,283064.49,2025-05-10
494152.85,59298.34,265169.03,23.66,288282.16,2025-05-11
479349.71,57521.96,269634.93,26.07,267236.75,2025-05-12
509527.26,61143.27,272041.62,24.79,298628.92,2025-05-13
496666.66,59600.0,273385.23,32.22,282881.43,2025-05-14
477937.91,57352.55,275876.31,27.01,259414.14,2025-05-15
484766.31,58171.96,278393.39,32.29,264544.88,2025-05-16
504702.71,60564.32,280986.89,28.2,284280.14,2025-05-17
512571.9,61508.63,282942.99,28.31,291137.53,2025-05-18
529950.96,63594.12,286093.18,28.07,307451.9,2025-05-19
543707.94,65244.95,289213.84,28.59,319739.05,2025-05-20
506216.14,60745.94,290930.28,34.79,276031.8,2025-05-21
485156.93,58218.83,294191.26,20.86,249184.5,2025-05-22
468019.31,56162.32,298408.7,22.17,225772.92,2025-05-23
504015.67,60481.88,301318.65,27.47,263178.9,2025-05-24
487805.88,58536.71,303881.12,29.62,242461.47,2025-05-25
493769.64,59252.36,306589.33,32.18,246432.66,2025-05-26
490818.55,58898.23,309836.65,31.62,239880.13,2025-05-27
497888.14,59746.58,311450.83,28.82,246183.88,2025-05-28
515989.7,61918.76,314400.57,33.93,263507.9,2025-05-29
502355.73,60282.69,316970.93,34.17,245667.48,2025-05-30
497620.48,59714.46,321117.12,31.4,236217.82,2025-05-31
484465.19,58135.82,323856.92,34.33,218744.1,2025-06-01
474879.76,56985.57,327895.18,32.11,203970.14,2025-06-02
492705.38,59124.65,330002.32,29.39,221827.7,2025-06-03
499193.26,59903.19,333302.18,34.0,225794.27,2025-06-04
526518.95,63182.27,336423.56,32.14,253277.66,2025-06-05
501954.12,60234.49,338722.04,31.95,223466.57,2025-06-06
514741.09,61768.93,341762.05,37.3,234747.98,2025-06-07
492510.57,59101.27,345535.66,23.77,206076.17,2025-06-08
482225.84,57867.1,348242.87,27.58,191850.07,2025-06-09
485523.25,58262.79,350001.39,28.59,193784.65,2025-06-10
489121.61,58694.59,352941.0,31.67,194875.21,2025-06-11
531927.05,63831.25,355270.22,32.25,240488.07,2025-06-12
487679.2,58521.5,358000.52,28.06,188200.18,2025-06-13
512577.34,61509.28,360922.37,30.09,213164.25,2025-06-14
486456.09,58374.73,362716.39,30.72,182114.43,2025-06-15
513973.6,61676.83,364582.42,42.53,211068.01,2025-06-16
505774.26,60692.91,367925.88,40.44,198541.3,2025-06-17
497650.43,59718.05,370575.01,32.89,186793.48,2025-06-18
499388.56,59926.63,371803.73,33.26,187511.46,2025-06-19
490178.18,58821.38,375386.19,30.71,173613.38,2025-06-20
506691.08,60802.93,378618.93,28.25,188875.08,2025-06-21
493175.25,59181.03,381170.32,34.72,171185.95,2025-06-22
481615.91,57793.91,383308.66,31.83,156101.16,2025-06-23
480830.94,57699.71,386962.87,35.22,151567.78,2025-06-24
502588.82,60310.66,390285.57,30.12,172613.91,2025-06-25
523686.37,62842.36,395040.56,33.25,191488.17,2025-06-26
502399.87,60287.98,398430.89,36.64,164256.97,2025-06-27
498220.43,59786.45,401807.49,37.6,156199.38,2025-06-28
504287.39,60514.49,404804.87,37.97,159997.01,2025-06-29
519590.03,62350.8,408499.86,32.09,173440.97,2025-06-30
503290.74,60394.89,412069.68,39.9,151615.94,2025-07-01
493836.09,59260.33,416087.17,34.31,137009.25,2025-07-02
516594.33,61991.32,418872.55,39.52,159713.1,2025-07-03
506431.35,60771.76,421727.08,37.47,145476.03,2025-07-04
523036.34,62764.36,424560.05,32.89,161240.65,2025-07-05
502748.52,60329.82,428290.96,36.8,134787.38,2025-07-06
481632.96,57795.96,432526.2,39.38,106902.72,2025-07-07
479477.61,57537.31,435400.4,40.44,101614.53,2025-07-08
524763.92,62971.67,438307.47,38.0,149428.12,2025-07-09
525854.99,63102.6,441740.75,44.06,147216.84,2025-07-10
497307.21,59676.87,444791.16,42.42,112192.92,2025-07-11
494252.19,59310.26,448689.06,38.19,104873.39,2025-07-12
521921.66,62630.6,450353.3,41.92,134198.97,2025-07-13
483394.31,58007.32,453024.1,46.26,88377.53,2025-07-14
486579.09,58389.49,455734.93,46.55,89233.66,2025-07-15
509649.9,61157.99,457378.21,35.59,113429.68,2025-07-16
494080.92,59289.71,459980.22,36.84,93390.41,2025-07-17
499923.17,59990.78,462625.18,45.48,97288.77,2025-07-18
497548.36,59705.8,465779.0,36.78,91475.16,2025-07-19
505063.62,60607.63,469861.68,36.05,95809.57,2025-07-20
521112.23,62533.47,473002.76,39.18,110642.93,2025-07-21
501358.77,60163.05,475602.84,42.55,85918.99,2025-07-22
509659.08,61159.09,478893.63,40.92,91924.54,2025-07-23
469247.42,56309.69,482967.73,39.2,42589.38,2025-07-24
499269.22,59912.31,485633.26,39.31,73548.27,2025-07-25
487351.55,58482.19,488353.57,39.38,57480.16,2025-07-26
481717.8,57806.14,492111.29,38.99,47412.65,2025-07-27
486827.71,58419.33,495331.97,50.25,49915.07,2025-07-28
494988.15,59398.58,499169.97,43.51,55216.75,2025-07-29
513738.54,61648.62,502554.21,45.77,72832.95,2025-07-30
480104.11,57612.49,506448.18,41.15,31268.42,2025-07-31
500459.47,60055.14,509135.45,42.41,51379.16,2025-08-01
492737.46,59128.5,512547.83,40.76,39318.12,2025-08-02
495084.9,59410.19,515830.21,34.18,38664.88,2025-08-03
515041.37,61804.96,518417.96,38.83,58428.37,2025-08-04
508071.73,60968.61,520771.42,37.52,48268.92,2025-08-05
520060.97,62407.32,524708.36,36.18,57759.93,2025-08-06
497682.41,59721.89,527928.63,40.07,29475.68,2025-08-07
489560.86,58747.3,530687.98,49.09,17620.18,2025-08-08
496642.12,59597.05,534104.62,44.49,22134.55,2025-08-09
503637.45,60436.49,538387.22,49.36,25686.72,2025-08-10
502648.6,60317.83,540292.71,46.48,22673.72,2025-08-11
483734.18,58048.1,542756.08,47.98,-973.8,2025-08-12
501357.35,60162.88,545630.1,42.29,15890.12,2025-08-13
503423.42,60410.81,550181.99,47.47,13652.25,2025-08-14
537762.11,64531.45,553917.87,48.39,48375.69,2025-08-15
528152.67,63378.32,558002.09,44.02,33528.9,2025-08-16
487201.35,58464.16,560760.09,48.19,-15094.58,2025-08-17
495689.25,59482.71,563541.55,48.41,-8369.59,2025-08-18
478048.37,57365.8,567429.16,44.71,-32014.99,2025-08-19
491139.39,58936.73,571053.12,42.9,-20977.0,2025-08-20
504734.08,60568.09,575029.42,42.88,-9727.26,2025-08-21
518087.8,62170.54,578499.26,47.53,1759.09,2025-08-22
489063.74,58687.65,582304.18,48.57,-34552.79,2025-08-23
490187.8,58822.54,586034.1,44.85,-37023.76,2025-08-24
467790.66,56134.88,590206.79,47.91,-66281.25,2025-08-25
497560.01,59707.2,594408.97,50.02,-37141.76,2025-08-26
484063.78,58087.65,596921.35,50.38,-54769.92,2025-08-27
492058.41,59047.01,599003.58,53.85,-47898.16,2025-08-28
486847.09,58421.65,603369.13,53.08,-58100.39,2025-08-29
498586.06,59830.33,607873.88,45.31,-49457.49,2025-08-30
473634.07,56836.09,610040.69,54.9,-79570.52,2025-08-31
477994.32,57359.32,613231.31,47.35,-77877.67,2025-09-01
531938.71,63832.64,617001.03,53.07,-21229.68,2025-09-02
480688.66,57682.64,619127.0,49.85,-80755.7,2025-09-03
483548.22,58025.79,622810.1,48.36,-81236.1,2025-09-04
527553.7,63306.44,630427.66,43.68,-39567.51,2025-09-05
543576.01,65229.12,633903.93,49.6,-25098.8,2025-09-06
482426.5,57891.18,621365.33,44.94,-81047.65,2025-09-07
494476.27,59337.15,636885.43,53.98,-83072.01,2025-09-08
505123.33,60614.8,644340.79,56.11,-78602.66,2025-09-09
525930.46,63111.66,647402.79,48.21,-58360.67,2025-09-10
485197.14,58223.66,624933.92,52.25,-81513.12,2025-09-11
496320.83,59558.5,639261.23,48.85,-83381.9,2025-09-12
511660.06,61399.21,659018.16,49.39,-85958.89,2025-09-13
506521.49,60782.58,652399.68,54.5,-85095.61,2025-09-14
494357.66,59322.92,636732.66,51.85,-83052.09,2025-09-15
497992.66,59759.12,641414.54,58.28,-83662.77,2025-09-16
479376.56,57525.19,617437.01,50.7,-80535.26,2025-09-17
496427.39,59571.29,639398.48,56.08,-83399.8,2025-09-18
496004.19,59520.5,638853.39,53.12,-83328.7,2025-09-19
503482.55,60417.91,648485.52,55.77,-84585.07,2025-09-20
491670.09,59000.41,633271.08,51.61,-82600.58,2025-09-21
507073.08,60848.77,653110.12,53.2,-85188.28,2025-09-22
515190.74,61822.89,663565.67,53.17,-86552.04,2025-09-23
502331.44,60279.77,647002.89,50.85,-84391.68,2025-09-24
505276.35,60633.16,650795.93,56.29,-84886.43,2025-09-25
500797.33,60095.68,645026.96,56.45,-84133.95,2025-09-26
500001.27,60000.15,644001.63,56.45,-84000.21,2025-09-27
489176.63,58701.2,630059.5,59.95,-82181.67,2025-09-28
504747.41,60569.69,650114.67,59.84,-84797.57,2025-09-29
498540.7,59824.88,642120.42,53.65,-83754.84,2025-09-30
531397.52,63767.7,684440.01,56.47,-89274.78,2025-10-01
523600.32,62832.04,674397.22,53.18,-87964.85,2025-10-02
505787.7,60694.52,651454.56,55.64,-84972.33,2025-10-03
488554.14,58626.5,629257.73,53.66,-82077.1,2025-10-04
483313.83,57997.66,622508.21,61.63,-81196.72,2025-10-05
517867.14,62144.06,667012.88,57.43,-87001.68,2025-10-06
503941.24,60472.95,649076.32,55.59,-84662.13,2025-10-07
507202.15,60864.26,653276.37,60.73,-85209.96,2025-10-08
473831.21,56859.75,610294.6,49.15,-79603.64,2025-10-09
513911.58,61669.39,661918.11,49.9,-86337.14,2025-10-10
506816.31,60817.96,652779.4,59.93,-85145.14,2025-10-11
483343.54,58001.22,622546.48,57.56,-81201.71,2025-10-12
492927.13,59151.26,634890.14,58.42,-82811.76,2025-10-13
503955.76,60474.69,649095.02,53.1,-84664.57,2025-10-14
500787.0,60094.44,645013.66,57.86,-84132.22,2025-10-15
495617.43,59474.09,638355.25,65.15,-83263.73,2025-10-16
498447.68,59813.72,642000.61,61.22,-83739.21,2025-10-17
496220.34,59546.44,639131.8,59.13,-83365.02,2025-10-18
502288.44,60274.61,646947.51,57.2,-84384.46,2025-10-19
522072.38,62648.69,672429.22,57.55,-87708.16,2025-10-20
461500.12,55380.01,594412.16,51.68,-77532.02,2025-10-21
496447.25,59573.67,639424.05,60.23,-83403.14,2025-10-22
502647.69,60317.72,647410.22,62.49,-84444.81,2025-10-23
504439.91,60532.79,649718.6,54.21,-84745.9,2025-10-24
494421.28,59330.55,636814.61,57.61,-83062.78,2025-10-25
473649.17,56837.9,610060.14,56.07,-79573.06,2025-10-26
504919.93,60590.39,650336.87,56.94,-84826.55,2025-10-27
525910.25,63109.23,677372.41,60.71,-88352.92,2025-10-28
476992.08,57239.05,614365.8,53.42,-80134.67,2025-10-29
512957.42,61554.89,660689.16,63.07,-86176.85,2025-10-30
495072.12,59408.65,637652.89,63.75,-83172.12,2025-10-31
499080.13,59889.62,642815.21,60.43,-83845.46,2025-11-01
484206.52,58104.78,623658.0,52.83,-81346.7,2025-11-02
494983.16,59397.98,637538.31,58.22,-83157.17,2025-11-03
519500.67,62340.08,669116.86,66.22,-87276.11,2025-11-04
508739.83,61048.78,655256.9,52.38,-85468.29,2025-11-05
525984.67,63118.16,677468.26,61.09,-88365.43,2025-11-06
517661.18,62119.34,666747.6,58.37,-86967.08,2025-11-07
506586.3,60790.36,652483.15,65.52,-85106.5,2025-11-08
526159.02,63139.08,677692.82,60.54,-88394.72,2025-11-09
506584.9,60790.19,652481.35,64.51,-85106.26,2025-11-10
512419.82,61490.38,659996.73,65.28,-86086.53,2025-11-11
495551.44,59466.17,638270.25,69.92,-83252.64,2025-11-12
500998.19,60119.78,645285.67,62.98,-84167.7,2025-11-13
489538.64,58744.64,630525.77,65.21,-82242.49,2025-11-14
514843.76,61781.25,663118.76,58.89,-86493.75,2025-11-15
482325.45,57879.05,621235.17,68.46,-81030.67,2025-11-16
511735.26,61408.23,659115.01,61.83,-85971.52,2025-11-17
497140.23,59656.83,640316.62,62.72,-83519.56,2025-11-18
517568.71,62108.24,666628.49,64.81,-86951.54,2025-11-19
511263.03,61351.56,658506.79,59.61,-85892.19,2025-11-20
527309.69,63277.16,679174.88,66.08,-88588.03,2025-11-21
510961.62,61315.39,658118.57,68.87,-85841.55,2025-11-22
476419.4,57170.33,613628.18,66.7,-80038.46,2025-11-23
498995.7,59879.48,642706.46,60.31,-83831.28,2025-11-24
482419.89,57890.39,621356.82,65.64,-81046.54,2025-11-25
492225.8,59067.1,633986.83,68.87,-82693.93,2025-11-26
522668.43,62720.21,673196.93,59.9,-87808.3,2025-11-27
509563.01,61147.56,656317.15,62.91,-85606.59,2025-11-28
489516.04,58741.93,630496.66,69.94,-82238.7,2025-11-29
484794.24,58175.31,624414.98,68.01,-81445.43,2025-11-30
500491.73,60059.01,644633.35,68.71,-84082.61,2025-12-01
481751.6,57810.19,620496.06,73.97,-80934.27,2025-12-02
489932.9,58791.95,631033.57,69.3,-82308.73,2025-12-03
504680.14,60561.62,650028.02,70.16,-84786.26,2025-12-04
517329.68,62079.56,666320.63,77.55,-86911.39,2025-12-05
509131.42,61095.77,655761.27,67.51,-85534.08,2025-12-06
465630.66,55875.68,599732.29,65.66,-78225.95,2025-12-07
504565.5,60547.86,649880.37,70.15,-84767.0,2025-12-08
501080.5,60129.66,645391.69,70.39,-84181.52,2025-12-09
506208.35,60745.0,651996.36,67.21,-85043.0,2025-12-10
524243.15,62909.18,675225.17,65.64,-88072.85,2025-12-11
469051.43,56286.17,604138.24,77.53,-78800.64,2025-12-12
491133.45,58936.01,632579.88,70.79,-82510.42,2025-12-13
508863.59,61063.63,655416.31,67.28,-85489.08,2025-12-14
476276.08,57153.13,613443.6,73.25,-80014.38,2025-12-15
522139.24,62656.71,672515.34,69.86,-87719.39,2025-12-16
505525.35,60663.04,651116.65,69.55,-84928.26,2025-12-17
512698.76,61523.85,660356.0,72.61,-86133.39,2025-12-18
491435.85,58972.3,632969.37,66.31,-82561.22,2025-12-19
512206.46,61464.77,659721.91,72.27,-86050.68,2025-12-20
516027.07,61923.25,664642.87,77.93,-86692.55,2025-12-21
503493.17,60419.18,648499.2,73.06,-84586.85,2025-12-22
503516.01,60421.92,648528.63,70.31,-84590.69,2025-12-23
504055.15,60486.62,649223.03,70.05,-84681.26,2025-12-24
487049.82,58445.98,627320.17,70.59,-81824.37,2025-12-25
497787.07,59734.45,641149.75,71.34,-83628.23,2025-12-26
497712.16,59725.46,641053.26,71.1,-83615.64,2025-12-27
505750.91,60690.11,651407.17,75.83,-84966.15,2025-12-28
514997.36,61799.68,663316.6,66.75,-86519.56,2025-12-29
484121.96,58094.64,623549.08,76.04,-81332.49,2025-12-30
498124.86,59774.98,641584.83,71.89,-83684.98,2025-12-31
522221.83,62666.62,672621.72,74.73,-87733.27,2026-01-01
488846.18,58661.54,629633.88,69.67,-82126.16,2026-01-02
487666.25,58519.95,628114.13,78.46,-81927.93,2026-01-03
503034.59,60364.15,647908.56,78.37,-84509.81,2026-01-04
512665.78,61519.89,660313.52,77.57,-86127.85,2026-01-05
500171.39,60020.57,644220.75,69.11,-84028.79,2026-01-06
519934.41,62392.13,669675.52,77.51,-87348.98,2026-01-07
512851.91,61542.23,660553.26,76.22,-86159.12,2026-01-08
512627.3,61515.28,660263.96,69.38,-86121.39,2026-01-09
508311.75,60997.41,654705.53,75.12,-85396.37,2026-01-10
534914.8,64189.78,688970.26,76.67,-89865.69,2026-01-11
496922.57,59630.71,640036.28,77.54,-83482.99,2026-01-12
469947.17,56393.66,605291.95,76.42,-78951.12,2026-01-13
524063.82,62887.66,674994.19,77.01,-88042.72,2026-01-14
493134.51,59176.14,635157.25,81.35,-82846.6,2026-01-15
501618.21,60194.18,646084.25,80.68,-84271.86,2026-01-16
519643.26,62357.19,669300.52,66.55,-87300.07,2026-01-17
475966.11,57115.93,613044.35,75.68,-79962.31,2026-01-18
481225.29,57747.04,619818.18,76.41,-80845.85,2026-01-19
475980.83,57117.7,613063.31,71.05,-79964.78,2026-01-20
488087.96,58570.55,628657.29,77.71,-81998.78,2026-01-21
506594.55,60791.35,652493.78,81.95,-85107.88,2026-01-22
507862.82,60943.54,654127.31,73.98,-85320.95,2026-01-23
504144.11,60497.29,649337.62,79.16,-84696.21,2026-01-24
478808.51,57457.02,616705.36,74.97,-80439.83,2026-01-25
465348.45,55841.81,599368.8,76.02,-78178.54,2026-01-26
500815.3,60097.84,645050.11,83.74,-84136.97,2026-01-27
492923.36,59150.8,634885.29,76.87,-82811.12,2026-01-28
506890.79,60826.89,652875.33,80.59,-85157.65,2026-01-29
510529.3,61263.52,657561.74,72.62,-85768.92,2026-01-30
502073.62,60248.83,646670.82,85.88,-84348.37,2026-01-31
511402.0,61368.24,658685.77,81.67,-85915.54,2026-02-01
503438.17,60412.58,648428.36,79.12,-84577.61,2026-02-02
507950.97,60954.12,654240.85,81.98,-85335.76,2026-02-03
489429.9,58731.59,630385.71,75.23,-82224.22,2026-02-04
497305.83,59676.7,640529.91,84.5,-83547.38,2026-02-05
502951.64,60354.2,647801.71,79.42,-84495.88,2026-02-06
512307.93,61476.95,659852.61,80.04,-86067.73,2026-02-07
494093.88,59291.27,636392.92,79.23,-83007.77,2026-02-08
507817.51,60938.1,654068.95,79.12,-85313.34,2026-02-09
496012.42,59521.49,638863.99,83.78,-83330.09,2026-02-10
498236.87,59788.42,641729.09,82.44,-83703.79,2026-02-11
512442.79,61493.13,660026.31,84.03,-86090.39,2026-02-12
470104.09,56412.49,605494.07,81.92,-78977.49,2026-02-13
480552.92,57666.35,618952.15,83.94,-80732.89,2026-02-14
477767.22,57332.07,615364.18,80.88,-80264.89,2026-02-15
464995.76,55799.49,598914.54,90.35,-78119.29,2026-02-16
489826.03,58779.12,630895.93,77.25,-82290.77,2026-02-17
511241.51,61348.98,658479.06,87.35,-85888.57,2026-02-18
495726.74,59487.21,638496.04,87.92,-83282.09,2026-02-19
502966.85,60356.02,647821.3,80.35,-84498.43,2026-02-20
516338.26,61960.59,665043.68,91.34,-86744.83,2026-02-21
519915.29,62389.84,669650.9,87.22,-87345.77,2026-02-22
498962.93,59875.55,642664.26,87.33,-83825.77,2026-02-23
520303.79,62436.45,670151.28,84.23,-87411.04,2026-02-24
501381.9,60165.83,645779.89,83.57,-84232.16,2026-02-25
487439.03,58492.68,627821.47,83.79,-81889.76,2026-02-26
491083.99,58930.08,632516.19,86.09,-82502.11,2026-02-27
477791.95,57335.03,615396.03,89.83,-80269.05,2026-02-28
486677.99,58401.36,626841.25,85.75,-81761.9,2026-03-01
494629.75,59355.57,637083.12,82.13,-83097.8,2026-03-02
512053.78,61446.45,659525.26,88.4,-86025.03,2026-03-03
525811.55,63097.39,677245.27,88.94,-88336.34,2026-03-04
479267.28,57512.07,617296.25,88.21,-80516.9,2026-03-05
505892.41,60707.09,651589.43,88.72,-84989.93,2026-03-06
484391.84,58127.02,623896.69,85.36,-81377.83,2026-03-07
507120.46,60854.45,653171.15,83.26,-85196.24,2026-03-08
498033.7,59764.04,641467.41,83.67,-83669.66,2026-03-09
472536.41,56704.37,608626.9,81.18,-79386.12,2026-03-10
513924.45,61670.93,661934.7,87.93,-86339.31,2026-03-11
490924.99,58911.0,632311.39,87.01,-82475.4,2026-03-12
491991.5,59038.98,633685.05,85.96,-82654.57,2026-03-13
483953.71,58074.45,623332.38,77.35,-81304.22,2026-03-14
490185.75,58822.29,631359.25,83.53,-82351.21,2026-03-15
506418.36,60770.2,652266.84,92.02,-85078.28,2026-03-16
497161.33,59659.36,640343.8,85.97,-83523.1,2026-03-17
504929.93,60591.59,650349.75,89.76,-84828.23,2026-03-18
